Level,Floor,Blocks,Blocks_HP
2,10,3,3
3,10,4,8
4,9,5,14
5,9,5,17
6,8,5,21
7,10,5,30
8,9,6,37
9,9,4,31
10,10,4,36
11,10,4,40
12,9,4,34
13,10,0,0
14,10,2,26
15,10,2,28
16,10,3,45
17,10,4,64
18,10,3,51
19,10,4,72
20,9,4,58
21,9,3,41
22,10,3,63
23,10,2,44
24,10,3,69
25,10,2,48
26,10,5,125
27,10,2,52
28,10,6,162
29,9,6,143
30,9,2,31
31,10,2,60
32,10,2,62
33,10,1,32
34,10,6,198
35,10,7,238
36,9,9,273
37,8,8,181
38,8,6,136
39,10,5,190
40,9,5,165
41,10,4,160
42,10,2,82
43,10,5,210
44,9,6,203
45,9,6,253
46,8,2,69
47,10,3,138
48,9,3,140
49,10,3,144
50,10,4,196
51,9,4,199
52,8,6,238
53,10,3,156
54,10,0,0
55,10,5,270
56,9,6,275
57,8,5,189
58,9,5,232
59,9,4,178
60,9,6,321
61,9,4,203
62,10,6,366
63,9,7,371
64,9,6,303
65,9,3,191
66,10,4,260
67,9,6,395
68,9,2,69
69,10,5,340
70,9,4,172
71,10,5,350
72,9,6,327
73,8,5,231
74,10,1,73
75,10,4,296
76,9,3,177
77,10,2,152
78,10,3,231
79,10,2,156
80,10,3,237
81,9,6,479
82,8,6,480
83,7,6,444
84,8,5,394
85,10,4,336
86,10,5,425
87,9,7,468
88,8,6,316
89,10,3,264
90,10,4,356
91,10,6,540
92,9,5,378
93,9,5,382
94,8,5,427
95,10,1,94
96,10,2,190
97,10,5,480
98,9,4,275
99,8,6,550
100,7,4,316
101,10,2,200
102,10,4,404
103,10,6,612
104,10,3,309
105,10,5,520
106,9,5,457
107,9,4,360
108,9,4,389
109,10,3,324
110,10,5,545
111,10,5,550
112,10,4,444
113,9,3,262
114,10,3,339
115,10,3,342
116,10,3,345
117,10,0,0
118,10,4,468
119,9,6,630
120,9,8,643
121,9,4,324
122,10,5,605
123,9,7,808
124,9,4,292
125,10,5,620
126,9,7,798
127,8,5,489
128,8,4,442
129,10,5,640
130,10,2,258
131,10,2,260
132,10,5,655
