Level,Floor,Blocks,Blocks_HP
2,10,5,5
3,9,6,11
4,9,6,17
5,8,4,14
6,7,4,16
7,6,7,37
8,5,6,35
9,8,5,36
10,9,7,53
11,8,5,36
12,7,2,14
13,10,4,48
14,9,5,52
15,10,4,56
16,9,2,23
17,10,4,64
18,9,5,78
19,8,5,76
20,7,5,80
21,9,4,75
22,9,5,86
23,9,6,131
24,8,4,64
25,10,4,96
26,10,3,75
27,10,4,104
28,10,5,135
29,9,6,162
30,9,7,164
31,10,2,60
32,10,1,31
33,10,5,160
34,9,6,197
35,8,6,136
36,9,4,117
37,9,4,114
38,10,2,74
39,10,2,76
40,10,4,156
41,9,5,178
42,8,2,53
43,10,2,84
44,10,2,86
45,10,3,132
46,9,5,186
47,10,4,184
48,9,3,116
49,10,6,288
50,10,5,245
51,9,5,205
52,10,3,153
53,10,2,104
54,10,2,106
55,10,3,162
56,10,5,275
57,9,6,309
58,9,5,236
59,9,3,119
60,10,3,177
61,10,4,240
62,10,4,244
63,9,4,205
64,10,2,126
65,10,6,384
66,9,4,259
67,10,2,132
68,10,3,201
69,10,6,408
70,9,7,294
71,10,5,350
72,9,4,236
73,10,4,288
74,10,3,219
75,10,5,370
76,9,8,462
77,8,7,255
78,10,2,154
79,10,4,312
80,10,5,395
81,9,6,370
82,9,4,260
83,10,4,328
84,10,6,498
85,9,5,338
86,9,6,343
87,10,4,344
88,10,4,348
89,9,4,282
90,10,3,267
91,9,2,179
92,10,4,364
93,9,4,361
94,10,4,372
95,10,3,282
96,9,4,287
97,9,7,579
98,9,6,386
99,8,4,288
100,9,6,432
101,10,5,500
102,9,5,431
103,10,3,306
104,10,6,618
105,9,6,542
106,10,4,420
107,9,5,426
108,10,2,214
109,10,4,432
110,9,4,418
111,10,5,550
112,9,4,427
113,10,5,560
114,9,5,551
115,8,3,301
116,10,4,460
117,9,6,688
118,10,5,585
119,10,4,472
120,10,5,595
121,9,6,719
122,10,6,726
123,9,5,603
124,8,4,383
125,10,4,496
126,10,3,375
127,9,7,761
128,8,6,636
129,9,4,480
130,9,4,396
131,9,5,527
132,9,4,521
133,10,6,792
134,9,4,307
135,10,3,402
136,9,4,441
137,10,2,272
138,10,3,411
139,10,4,552
140,9,4,418
141,10,4,560
142,10,6,846
143,9,7,681
144,9,5,539
145,9,5,594
146,9,6,793
147,8,5,466
148,10,5,735
149,9,7,788
150,10,5,745
151,10,1,150
152,10,4,604
153,10,4,608
154,10,6,918
155,9,7,800
156,9,6,694
157,9,6,790
158,9,6,759
159,9,5,699
160,10,4,636
161,10,3,480
162,10,3,483
163,10,1,162
164,10,3,489
165,10,4,656
166,9,5,665
167,10,2,332
168,10,1,167
169,10,3,504
170,10,2,338
171,10,1,170
172,10,2,342
173,10,3,516
174,10,5,865
175,9,3,424
176,10,3,525
177,10,5,880
178,9,6,983
179,8,5,810
180,9,4,561
181,8,4,564
182,10,5,905
183,9,6,1009
184,8,5,659
185,7,5,649
186,9,6,1038
187,8,6,907
188,10,3,561
189,10,4,752
190,10,4,756
191,10,1,190
192,10,3,573
193,10,3,576
194,10,3,579
195,9,4,677
196,10,2,390
197,10,2,392
198,10,5,985
199,10,3,594
200,10,4,796
201,10,2,400
202,9,6,1112
203,9,5,1009
204,10,4,812
205,9,3,444
206,10,4,820
207,9,4,823
208,10,3,621
209,9,8,1402
210,8,6,792
211,10,3,630
212,10,2,422
213,10,3,636
214,10,2,426
215,10,5,1070
216,9,5,1074
217,9,6,1083
218,9,4,646
219,10,5,1090
220,9,5,987
221,10,3,660
222,10,3,663
223,10,4,888
224,9,4,788
225,10,2,448
226,10,3,675
227,9,4,901
228,8,7,1465
229,7,5,999
230,9,3,510
231,10,2,460
232,10,4,924
233,10,2,464
234,10,6,1398
235,9,5,992
236,10,2,470
237,10,3,708
238,10,3,711
239,10,1,238
240,10,7,1673
241,10,4,960
242,9,4,606
243,10,1,242
244,10,3,729
245,10,3,732
246,10,1,245
247,10,6,1476
248,9,7,1373
249,10,3,744
250,10,4,996
251,9,4,629
252,8,6,1366
253,7,4,859
254,9,7,1564
255,8,10,1676
256,10,3,765
257,10,4,1024
258,10,2,514
259,10,4,1032
260,10,5,1295
261,9,6,1126
262,10,0,0
263,10,4,1048
264,10,3,789
265,10,4,1056
266,10,1,265
267,10,4,1064
268,9,4,906
269,8,5,1125
270,7,6,1398
271,6,5,900
272,10,2,542
273,10,5,1360
274,10,5,1365
275,9,9,2059
276,8,5,969
277,7,5,951
278,9,4,894
279,8,5,1175
280,10,3,837
281,10,1,280
282,10,3,843
283,10,5,1410
284,9,7,1678
285,10,5,1420
286,9,6,1625
287,8,2,204
288,10,4,1148
289,10,3,864
290,10,4,1156
291,10,3,870
292,10,3,873
293,10,3,876
294,10,4,1172
295,9,7,1793
296,8,8,1320
297,10,2,592
298,10,4,1188
299,9,6,1333
300,8,7,1400
301,10,2,600
302,10,3,903
303,9,7,1814
304,9,7,1821
305,10,5,1520
306,9,6,1829
307,9,5,1321
308,10,4,1228
309,10,2,616
310,10,5,1545
311,9,7,1722
312,10,3,933
313,9,6,1630
314,9,5,1026
315,10,4,1256
316,9,6,1540
317,9,6,1581
318,9,4,1049
319,10,5,1590
320,9,4,1092
321,10,4,1280
322,9,4,970
323,8,6,1615
324,9,5,1273
325,8,5,1326
326,9,5,1244
327,10,5,1630
328,9,7,1646
329,8,4,810
330,10,6,1974
331,10,4,1320
332,9,4,1001
333,9,5,1655
334,9,4,1057
335,9,5,1105
336,8,6,1194
337,8,3,688
338,7,5,1364
339,10,6,2028
340,10,2,678
341,9,7,2217
342,9,5,1388
343,8,5,1375
344,9,6,1993
345,8,4,1257
346,10,5,1725
347,10,7,2422
348,9,9,3003
349,8,3,777
350,10,6,2094
351,9,7,1667
352,10,4,1404
353,10,2,704
354,10,2,706
355,10,3,1062
356,10,4,1420
357,9,5,1438
358,8,7,2155
359,9,6,1820
360,9,10,2205
361,9,3,735
362,10,5,1805
363,9,5,1350
364,9,3,769
365,10,5,1820
366,10,5,1825
367,9,7,1838
368,8,3,857
369,9,4,1108
370,10,1,369
371,10,2,740
372,10,5,1855
373,10,4,1488
374,9,6,2231
375,8,6,1571
376,8,6,1749
377,8,6,1678
378,10,3,1131
379,10,3,1134
380,9,5,1389
381,8,4,1128
382,7,7,1713
383,6,5,967
384,10,1,383
385,10,3,1152
386,10,5,1925
387,9,6,2035
388,8,5,1819
389,7,6,1589
390,9,5,1682
391,9,5,1568
392,9,4,982
393,8,3,795
394,10,2,786
395,10,4,1576
396,9,3,809
397,10,5,1980
398,10,2,794
399,10,4,1592
400,10,6,2394
401,9,7,2247
402,10,2,802
403,10,3,1206
404,9,4,1275
405,10,4,1616
406,10,4,1620
407,10,3,1218
408,10,3,1221
409,10,5,2040
410,9,7,2044
411,8,8,2583
412,9,7,2466
413,10,2,824
414,10,4,1652
415,9,5,1835
416,10,4,1660
417,9,7,2682
418,8,4,1272
419,7,8,2740
420,9,7,2697
421,9,4,1351
422,9,7,2165
423,8,7,862
424,10,2,846
425,10,3,1272
426,10,3,1275
427,10,6,2556
428,9,8,2153
429,9,5,1823
430,10,4,1716
431,10,3,1290
432,10,4,1724
433,9,4,1528
