Level,Floor,Blocks,Blocks_HP
2,10,3,3
3,9,4,6
4,10,4,12
5,9,4,13
6,8,4,14
7,9,2,9
8,8,4,24
9,9,8,61
10,9,5,37
11,9,9,84
12,8,13,129
13,7,16,159
14,7,18,186
15,6,19,193
16,5,20,209
17,4,13,120
18,4,12,158
19,4,7,95
20,3,11,173
21,9,8,136
22,8,12,222
23,7,12,203
24,6,10,179
25,6,9,162
26,5,10,168
27,9,5,91
28,9,6,160
29,8,9,245
30,8,12,308
31,7,13,364
32,7,14,405
33,6,15,428
34,5,18,528
35,4,5,143
36,9,5,144
37,8,9,317
38,7,10,315
39,10,1,38
40,10,3,117
41,9,5,198
42,8,9,363
43,7,12,480
44,6,12,435
45,5,14,491
46,6,15,523
47,5,15,454
48,5,13,437
49,4,12,376
50,4,10,362
51,3,10,334
52,6,9,306
53,5,7,292
54,4,6,238
55,3,7,291
56,6,7,263
57,5,8,320
58,10,5,285
59,9,8,460
60,8,10,569
61,7,14,741
62,6,16,868
63,6,17,900
64,6,18,1014
65,5,22,1271
66,4,25,1425
67,4,9,385
68,3,10,481
69,7,6,279
70,6,9,487
71,5,11,628
72,6,11,686
73,6,8,365
74,5,11,620
75,8,13,835
76,7,17,1125
77,6,16,1085
78,5,9,394
79,4,9,471
80,3,9,570
81,7,6,286
82,6,10,581
83,6,11,701
84,6,12,779
85,7,10,625
86,6,13,815
87,6,16,1074
88,7,9,574
89,6,10,581
90,6,11,642
91,5,12,823
92,7,12,1034
93,6,15,1311
94,5,17,1406
95,6,15,1017
96,6,15,1170
97,5,10,703
98,4,11,700
99,3,16,1191
100,4,17,1359
101,3,18,1492
102,6,17,1473
103,5,12,888
104,4,9,761
105,3,12,1074
106,2,4,202
107,3,6,415
108,2,8,585
109,7,10,882
110,6,9,659
111,5,12,987
112,4,12,989
113,3,11,843
114,2,11,788
